"filename", "language", "JavaScript", "CSS", "JavaScript JSX", "XML", "comment", "blank", "total"
"d:\New folder (7)\personal-portfolio\src\App.css", "CSS", 0, 161, 0, 0, 20, 36, 217
"d:\New folder (7)\personal-portfolio\src\App.jsx", "JavaScript JSX", 0, 0, 28, 0, 0, 6, 34
"d:\New folder (7)\personal-portfolio\src\assets\files.svg", "XML", 0, 0, 0, 25, 0, 0, 25
"d:\New folder (7)\personal-portfolio\src\assets\hand.svg", "XML", 0, 0, 0, 49, 0, 0, 49
"d:\New folder (7)\personal-portfolio\src\assets\scroll.svg", "XML", 0, 0, 0, 35, 0, 0, 35
"d:\New folder (7)\personal-portfolio\src\assets\send.svg", "XML", 0, 0, 0, 17, 0, 0, 17
"d:\New folder (7)\personal-portfolio\src\components\Skills\FrontEnd.jsx", "JavaScript JSX", 0, 0, 56, 0, 0, 18, 74
"d:\New folder (7)\personal-portfolio\src\components\Skills\Skills.css", "CSS", 0, 47, 0, 0, 10, 14, 71
"d:\New folder (7)\personal-portfolio\src\components\Skills\Skills.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 4, 19
"d:\New folder (7)\personal-portfolio\src\components\about\About.css", "CSS", 0, 74, 0, 0, 3, 25, 102
"d:\New folder (7)\personal-portfolio\src\components\about\About.jsx", "JavaScript JSX", 0, 0, 48, 0, 0, 7, 55
"d:\New folder (7)\personal-portfolio\src\components\about\Info.jsx", "JavaScript JSX", 0, 0, 23, 0, 0, 11, 34
"d:\New folder (7)\personal-portfolio\src\components\contact\Contact.css", "CSS", 0, 124, 0, 0, 3, 29, 156
"d:\New folder (7)\personal-portfolio\src\components\contact\Contact.jsx", "JavaScript JSX", 0, 0, 121, 0, 0, 20, 141
"d:\New folder (7)\personal-portfolio\src\components\footer\Footer.css", "CSS", 0, 30, 0, 0, 3, 11, 44
"d:\New folder (7)\personal-portfolio\src\components\footer\Footer.jsx", "JavaScript JSX", 0, 0, 36, 0, 0, 7, 43
"d:\New folder (7)\personal-portfolio\src\components\header\Header.css", "CSS", 0, 118, 0, 0, 1, 23, 142
"d:\New folder (7)\personal-portfolio\src\components\header\Header.jsx", "JavaScript JSX", 0, 0, 77, 0, 0, 13, 90
"d:\New folder (7)\personal-portfolio\src\components\home\Data.jsx", "JavaScript JSX", 0, 0, 35, 0, 0, 9, 44
"d:\New folder (7)\personal-portfolio\src\components\home\Home.css", "CSS", 0, 167, 0, 0, 9, 49, 225
"d:\New folder (7)\personal-portfolio\src\components\home\Home.jsx", "JavaScript JSX", 0, 0, 24, 0, 0, 6, 30
"d:\New folder (7)\personal-portfolio\src\components\home\Scroll.jsx", "JavaScript JSX", 0, 0, 48, 0, 0, 3, 51
"d:\New folder (7)\personal-portfolio\src\components\home\Social.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 6, 24
"d:\New folder (7)\personal-portfolio\src\components\services\Services.css", "CSS", 0, 132, 0, 0, 3, 32, 167
"d:\New folder (7)\personal-portfolio\src\components\services\Services.jsx", "JavaScript JSX", 0, 0, 116, 0, 0, 30, 146
"d:\New folder (7)\personal-portfolio\src\components\ui\3d-pin.jsx", "JavaScript JSX", 0, 0, 144, 0, 0, 7, 151
"d:\New folder (7)\personal-portfolio\src\components\ui\FlipWords.jsx", "JavaScript JSX", 0, 0, 69, 0, 1, 5, 75
"d:\New folder (7)\personal-portfolio\src\components\ui\SpotLight.jsx", "JavaScript JSX", 0, 0, 50, 0, 0, 2, 52
"d:\New folder (7)\personal-portfolio\src\components\work\Work.css", "CSS", 0, 50, 0, 0, 5, 19, 74
"d:\New folder (7)\personal-portfolio\src\components\work\Work.jsx", "JavaScript JSX", 0, 0, 76, 0, 0, 14, 90
"d:\New folder (7)\personal-portfolio\src\index.css", "CSS", 0, 9, 0, 0, 0, 1, 10
"d:\New folder (7)\personal-portfolio\src\main.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 2, 14
"d:\New folder (7)\personal-portfolio\src\utils\cn.js", "JavaScript", 5, 0, 0, 0, 0, 2, 7
"Total", "-", 5, 912, 996, 126, 58, 411, 2508